Date,Open,High,Low,Close,Volume
2013-01-01,94.763,94.763,94.763,94.763,1.0
2013-01-02,95.483,95.483,95.483,95.483,1.0
2013-01-03,95.847,95.847,95.847,95.847,1.0
2013-01-04,96.543,96.543,96.543,96.543,1.0
2013-01-07,96.444,96.444,96.444,96.444,1.0
2013-01-08,96.413,96.413,96.413,96.413,1.0
2013-01-09,96.43,96.43,96.43,96.43,1.0
2013-01-10,96.267,96.267,96.267,96.267,1.0
2013-01-11,96.074,96.074,96.074,96.074,1.0
2013-01-14,97.155,97.155,97.155,97.155,1.0
2013-01-15,97.722,97.722,97.722,97.722,1.0
2013-01-16,96.629,96.629,96.629,96.629,1.0
2013-01-17,97.174,97.174,97.174,97.174,1.0
2013-01-18,98.264,98.264,98.264,98.264,1.0
2013-01-21,98.645,98.645,98.645,98.645,1.0
2013-01-22,97.849,97.849,97.849,97.849,1.0
2013-01-23,97.442,97.442,97.442,97.442,1.0
2013-01-24,95.883,95.883,95.883,95.883,1.0
2013-01-25,97.009,97.009,97.009,97.009,1.0
2013-01-28,97.099,97.099,97.099,97.099,1.0
2013-01-29,96.724,96.724,96.724,96.724,1.0
2013-01-30,96.662,96.662,96.662,96.662,1.0
2013-01-31,96.55,96.55,96.55,96.55,1.0
2013-02-01,96.401,96.401,96.401,96.401,1.0
2013-02-04,95.735,95.735,95.735,95.735,1.0
2013-02-05,94.742,94.742,94.742,94.742,1.0
2013-02-06,94.793,94.793,94.793,94.793,1.0
2013-02-07,94.437,94.437,94.437,94.437,1.0
2013-02-08,93.322,93.322,93.322,93.322,1.0
2013-02-11,93.22,93.22,93.22,93.22,1.0
2013-02-12,93.376,93.376,93.376,93.376,1.0
2013-02-13,93.324,93.324,93.324,93.324,1.0
2013-02-14,92.18,92.18,92.18,92.18,1.0
2013-02-15,91.891,91.891,91.891,91.891,1.0
2013-02-18,92.138,92.138,92.138,92.138,1.0
2013-02-19,93.202,93.202,93.202,93.202,1.0
2013-02-20,93.215,93.215,93.215,93.215,1.0
2013-02-21,91.866,91.866,91.866,91.866,1.0
2013-02-22,91.785,91.785,91.785,91.785,1.0
2013-02-25,91.186,91.186,91.186,91.186,1.0
2013-02-26,89.823,89.823,89.823,89.823,1.0
2013-02-27,90.416,90.416,90.416,90.416,1.0
2013-02-28,88.509,88.509,88.509,88.509,1.0
2013-03-01,89.362,89.362,89.362,89.362,1.0
2013-03-04,89.081,89.081,89.081,89.081,1.0
2013-03-05,90.271,90.271,90.271,90.271,1.0
2013-03-06,90.897,90.897,90.897,90.897,1.0
2013-03-07,91.307,91.307,91.307,91.307,1.0
2013-03-08,92.353,92.353,92.353,92.353,1.0
2013-03-11,92.238,92.238,92.238,92.238,1.0
2013-03-12,91.813,91.813,91.813,91.813,1.0
2013-03-13,90.732,90.732,90.732,90.732,1.0
2013-03-14,91.546,91.546,91.546,91.546,1.0
2013-03-15,90.753,90.753,90.753,90.753,1.0
2013-03-18,90.139,90.139,90.139,90.139,1.0
2013-03-19,88.798,88.798,88.798,88.798,1.0
2013-03-20,87.43,87.43,87.43,87.43,1.0
2013-03-21,87.094,87.094,87.094,87.094,1.0
2013-03-22,87.013,87.013,87.013,87.013,1.0
2013-03-25,86.749,86.749,86.749,86.749,1.0
2013-03-26,87.036,87.036,87.036,87.036,1.0
2013-03-28,87.764,87.764,87.764,87.764,1.0
2013-04-01,88.529,88.529,88.529,88.529,1.0
2013-04-02,89.776,89.776,89.776,89.776,1.0
2013-04-03,88.873,88.873,88.873,88.873,1.0
2013-04-04,87.231,87.231,87.231,87.231,1.0
2013-04-05,87.152,87.152,87.152,87.152,1.0
2013-04-08,87.062,87.062,87.062,87.062,1.0
2013-04-09,86.2,86.2,86.2,86.2,1.0
2013-04-10,86.94,86.94,86.94,86.94,1.0
2013-04-11,87.762,87.762,87.762,87.762,1.0
2013-04-12,86.509,86.509,86.509,86.509,1.0
2013-04-15,87.423,87.423,87.423,87.423,1.0
2013-04-16,88.605,88.605,88.605,88.605,1.0
2013-04-17,89.131,89.131,89.131,89.131,1.0
2013-04-18,90.053,90.053,90.053,90.053,1.0
2013-04-22,90.663,90.663,90.663,90.663,1.0
2013-04-23,90.59,90.59,90.59,90.59,1.0
2013-04-25,91.299,91.299,91.299,91.299,1.0
2013-04-26,90.499,90.499,90.499,90.499,1.0
2013-04-29,90.86,90.86,90.86,90.86,1.0
2013-04-30,91.017,91.017,91.017,91.017,1.0
2013-05-02,91.84,91.84,91.84,91.84,1.0
2013-05-03,90.56,90.56,90.56,90.56,1.0
2013-05-06,91.321,91.321,91.321,91.321,1.0
2013-05-07,92.121,92.121,92.121,92.121,1.0
2013-05-08,92.414,92.414,92.414,92.414,1.0
2013-05-09,91.974,91.974,91.974,91.974,1.0
2013-05-10,92.412,92.412,92.412,92.412,1.0
2013-05-13,90.855,90.855,90.855,90.855,1.0
2013-05-14,91.188,91.188,91.188,91.188,1.0
2013-05-15,93.111,93.111,93.111,93.111,1.0
2013-05-16,93.518,93.518,93.518,93.518,1.0
2013-05-17,93.839,93.839,93.839,93.839,1.0
2013-05-20,92.813,92.813,92.813,92.813,1.0
2013-05-21,91.754,91.754,91.754,91.754,1.0
2013-05-22,91.092,91.092,91.092,91.092,1.0
2013-05-23,88.789,88.789,88.789,88.789,1.0
2013-05-24,88.806,88.806,88.806,88.806,1.0
2013-05-27,89.593,89.593,89.593,89.593,1.0
2013-05-28,90.305,90.305,90.305,90.305,1.0
2013-05-29,90.06,90.06,90.06,90.06,1.0
2013-05-30,90.169,90.169,90.169,90.169,1.0
2013-05-31,89.014,89.014,89.014,89.014,1.0
2013-06-03,88.821,88.821,88.821,88.821,1.0
2013-06-04,88.718,88.718,88.718,88.718,1.0
2013-06-05,88.644,88.644,88.644,88.644,1.0
2013-06-06,88.618,88.618,88.618,88.618,1.0
2013-06-07,88.042,88.042,88.042,88.042,1.0
2013-06-10,87.563,87.563,87.563,87.563,1.0
2013-06-11,86.272,86.272,86.272,86.272,1.0
2013-06-12,86.181,86.181,86.181,86.181,1.0
2013-06-13,85.124,85.124,85.124,85.124,1.0
2013-06-14,86.657,86.657,86.657,86.657,1.0
2013-06-17,86.86,86.86,86.86,86.86,1.0
2013-06-18,86.467,86.467,86.467,86.467,1.0
2013-06-19,86.617,86.617,86.617,86.617,1.0
2013-06-20,84.571,84.571,84.571,84.571,1.0
2013-06-21,84.351,84.351,84.351,84.351,1.0
2013-06-24,82.687,82.687,82.687,82.687,1.0
2013-06-25,82.63,82.63,82.63,82.63,1.0
2013-06-26,82.708,82.708,82.708,82.708,1.0
2013-06-27,83.555,83.555,83.555,83.555,1.0
2013-06-28,85.841,85.841,85.841,85.841,1.0
2013-07-01,86.809,86.809,86.809,86.809,1.0
2013-07-02,86.418,86.418,86.418,86.418,1.0
2013-07-03,84.663,84.663,84.663,84.663,1.0
2013-07-04,85.476,85.476,85.476,85.476,1.0
2013-07-05,85.729,85.729,85.729,85.729,1.0
2013-07-08,84.795,84.795,84.795,84.795,1.0
2013-07-09,85.246,85.246,85.246,85.246,1.0
2013-07-10,84.66,84.66,84.66,84.66,1.0
2013-07-11,85.825,85.825,85.825,85.825,1.0
2013-07-12,86.822,86.822,86.822,86.822,1.0
2013-07-15,87.179,87.179,87.179,87.179,1.0
2013-07-16,86.05,86.05,86.05,86.05,1.0
2013-07-17,85.846,85.846,85.846,85.846,1.0
2013-07-18,86.491,86.491,86.491,86.491,1.0
2013-07-19,86.235,86.235,86.235,86.235,1.0
2013-07-22,86.252,86.252,86.252,86.252,1.0
2013-07-23,86.83,86.83,86.83,86.83,1.0
2013-07-24,85.825,85.825,85.825,85.825,1.0
2013-07-25,84.684,84.684,84.684,84.684,1.0
2013-07-26,84.299,84.299,84.299,84.299,1.0
2013-07-29,83.495,83.495,83.495,83.495,1.0
2013-07-30,81.692,81.692,81.692,81.692,1.0
2013-07-31,81.472,81.472,81.472,81.472,1.0
2013-08-01,80.626,80.626,80.626,80.626,1.0
2013-08-02,79.997,79.997,79.997,79.997,1.0
2013-08-05,79.905,79.905,79.905,79.905,1.0
2013-08-06,77.824,77.824,77.824,77.824,1.0
2013-08-07,78.5,78.5,78.5,78.5,1.0
2013-08-08,79.377,79.377,79.377,79.377,1.0
2013-08-12,80.573,80.573,80.573,80.573,1.0
2013-08-13,81.638,81.638,81.638,81.638,1.0
2013-08-14,82.442,82.442,82.442,82.442,1.0
2013-08-16,79.383,79.383,79.383,79.383,1.0
2013-08-19,78.18,78.18,78.18,78.18,1.0
2013-08-20,78.457,78.457,78.457,78.457,1.0
2013-08-21,76.948,76.948,76.948,76.948,1.0
2013-08-22,78.399,78.399,78.399,78.399,1.0
2013-08-23,78.938,78.938,78.938,78.938,1.0
2013-08-26,78.9,78.9,78.9,78.9,1.0
