Date,Open,High,Low,Close,Volume
2013-01-01,12.4504,12.4504,12.4504,12.4504,1.0
2013-01-02,12.4584,12.4584,12.4584,12.4584,1.0
2013-01-03,12.4678,12.4678,12.4678,12.4678,1.0
2013-01-04,12.4786,12.4786,12.4786,12.4786,1.0
2013-01-07,12.4843,12.4843,12.4843,12.4843,1.0
2013-01-08,12.4908,12.4908,12.4908,12.4908,1.0
2013-01-09,12.4972,12.4972,12.4972,12.4972,1.0
2013-01-10,12.506,12.506,12.506,12.506,1.0
2013-01-11,12.5175,12.5175,12.5175,12.5175,1.0
2013-01-14,12.5449,12.5449,12.5449,12.5449,1.0
2013-01-15,12.5426,12.5426,12.5426,12.5426,1.0
2013-01-16,12.5255,12.5255,12.5255,12.5255,1.0
2013-01-17,12.5265,12.5265,12.5265,12.5265,1.0
2013-01-18,12.5289,12.5289,12.5289,12.5289,1.0
2013-01-21,12.5385,12.5385,12.5385,12.5385,1.0
2013-01-22,12.5417,12.5417,12.5417,12.5417,1.0
2013-01-23,12.5442,12.5442,12.5442,12.5442,1.0
2013-01-24,12.5472,12.5472,12.5472,12.5472,1.0
2013-01-28,12.5594,12.5594,12.5594,12.5594,1.0
2013-01-29,12.5706,12.5706,12.5706,12.5706,1.0
2013-01-30,12.5711,12.5711,12.5711,12.5711,1.0
2013-01-31,12.5596,12.5596,12.5596,12.5596,1.0
2013-02-01,12.5534,12.5534,12.5534,12.5534,1.0
2013-02-04,12.5383,12.5383,12.5383,12.5383,1.0
2013-02-05,12.5426,12.5426,12.5426,12.5426,1.0
2013-02-06,12.5445,12.5445,12.5445,12.5445,1.0
2013-02-07,12.5627,12.5627,12.5627,12.5627,1.0
2013-02-08,12.5691,12.5691,12.5691,12.5691,1.0
2013-02-11,12.5743,12.5743,12.5743,12.5743,1.0
2013-02-12,12.5718,12.5718,12.5718,12.5718,1.0
2013-02-13,12.568,12.568,12.568,12.568,1.0
2013-02-14,12.5684,12.5684,12.5684,12.5684,1.0
2013-02-15,12.5714,12.5714,12.5714,12.5714,1.0
2013-02-18,12.5743,12.5743,12.5743,12.5743,1.0
2013-02-20,12.5812,12.5812,12.5812,12.5812,1.0
2013-02-21,12.5789,12.5789,12.5789,12.5789,1.0
2013-02-22,12.5769,12.5769,12.5769,12.5769,1.0
2013-02-25,12.5852,12.5852,12.5852,12.5852,1.0
2013-02-26,12.5883,12.5883,12.5883,12.5883,1.0
2013-02-27,12.5887,12.5887,12.5887,12.5887,1.0
2013-02-28,12.5821,12.5821,12.5821,12.5821,1.0
2013-03-01,12.585,12.585,12.585,12.585,1.0
2013-03-04,12.5928,12.5928,12.5928,12.5928,1.0
2013-03-05,12.5961,12.5961,12.5961,12.5961,1.0
2013-03-06,12.6083,12.6083,12.6083,12.6083,1.0
2013-03-07,12.6195,12.6195,12.6195,12.6195,1.0
2013-03-08,12.6266,12.6266,12.6266,12.6266,1.0
2013-03-11,12.6318,12.6318,12.6318,12.6318,1.0
2013-03-12,12.6299,12.6299,12.6299,12.6299,1.0
2013-03-13,12.648,12.648,12.648,12.648,1.0
2013-03-14,12.6668,12.6668,12.6668,12.6668,1.0
2013-03-15,12.6764,12.6764,12.6764,12.6764,1.0
2013-03-18,12.6757,12.6757,12.6757,12.6757,1.0
2013-03-19,12.6726,12.6726,12.6726,12.6726,1.0
2013-03-20,12.6756,12.6756,12.6756,12.6756,1.0
2013-03-21,12.6807,12.6807,12.6807,12.6807,1.0
2013-03-22,12.6817,12.6817,12.6817,12.6817,1.0
2013-03-25,12.6967,12.6967,12.6967,12.6967,1.0
2013-03-26,12.7009,12.7009,12.7009,12.7009,1.0
2013-03-28,12.7075,12.7075,12.7075,12.7075,1.0
2013-04-02,12.737,12.737,12.737,12.737,1.0
2013-04-03,12.7548,12.7548,12.7548,12.7548,1.0
2013-04-04,12.7626,12.7626,12.7626,12.7626,1.0
2013-04-05,12.7706,12.7706,12.7706,12.7706,1.0
2013-04-08,12.7782,12.7782,12.7782,12.7782,1.0
2013-04-09,12.7845,12.7845,12.7845,12.7845,1.0
2013-04-10,12.7881,12.7881,12.7881,12.7881,1.0
2013-04-12,12.7963,12.7963,12.7963,12.7963,1.0
2013-04-15,12.8109,12.8109,12.8109,12.8109,1.0
2013-04-16,12.8246,12.8246,12.8246,12.8246,1.0
2013-04-17,12.8382,12.8382,12.8382,12.8382,1.0
2013-04-18,12.8525,12.8525,12.8525,12.8525,1.0
2013-04-22,12.8667,12.8667,12.8667,12.8667,1.0
2013-04-23,12.8738,12.8738,12.8738,12.8738,1.0
2013-04-25,12.8853,12.8853,12.8853,12.8853,1.0
2013-04-26,12.8899,12.8899,12.8899,12.8899,1.0
2013-04-29,12.8975,12.8975,12.8975,12.8975,1.0
2013-04-30,12.9211,12.9211,12.9211,12.9211,1.0
2013-05-02,12.9407,12.9407,12.9407,12.9407,1.0
2013-05-03,12.9611,12.9611,12.9611,12.9611,1.0
2013-05-06,12.9636,12.9636,12.9636,12.9636,1.0
2013-05-07,12.977,12.977,12.977,12.977,1.0
2013-05-08,12.9858,12.9858,12.9858,12.9858,1.0
2013-05-09,13.0022,13.0022,13.0022,13.0022,1.0
2013-05-10,13.013,13.013,13.013,13.013,1.0
2013-05-13,13.0211,13.0211,13.0211,13.0211,1.0
2013-05-14,13.0551,13.0551,13.0551,13.0551,1.0
2013-05-15,13.076,13.076,13.076,13.076,1.0
2013-05-16,13.0866,13.0866,13.0866,13.0866,1.0
2013-05-17,13.0839,13.0839,13.0839,13.0839,1.0
2013-05-20,13.0961,13.0961,13.0961,13.0961,1.0
2013-05-21,13.0998,13.0998,13.0998,13.0998,1.0
2013-05-22,13.0986,13.0986,13.0986,13.0986,1.0
2013-05-23,13.0878,13.0878,13.0878,13.0878,1.0
2013-05-24,13.0908,13.0908,13.0908,13.0908,1.0
2013-05-27,13.0932,13.0932,13.0932,13.0932,1.0
2013-05-28,13.0857,13.0857,13.0857,13.0857,1.0
2013-05-29,13.0649,13.0649,13.0649,13.0649,1.0
2013-05-30,13.0647,13.0647,13.0647,13.0647,1.0
2013-05-31,13.0573,13.0573,13.0573,13.0573,1.0
2013-06-03,13.0731,13.0731,13.0731,13.0731,1.0
2013-06-04,13.0865,13.0865,13.0865,13.0865,1.0
2013-06-05,13.096,13.096,13.096,13.096,1.0
2013-06-06,13.0971,13.0971,13.0971,13.0971,1.0
2013-06-07,13.0947,13.0947,13.0947,13.0947,1.0
2013-06-10,13.083,13.083,13.083,13.083,1.0
2013-06-11,13.0648,13.0648,13.0648,13.0648,1.0
2013-06-12,13.0639,13.0639,13.0639,13.0639,1.0
2013-06-13,13.0598,13.0598,13.0598,13.0598,1.0
2013-06-14,13.0698,13.0698,13.0698,13.0698,1.0
2013-06-17,13.0999,13.0999,13.0999,13.0999,1.0
2013-06-18,13.1045,13.1045,13.1045,13.1045,1.0
2013-06-19,13.1087,13.1087,13.1087,13.1087,1.0
2013-06-20,13.071,13.071,13.071,13.071,1.0
2013-06-21,13.0589,13.0589,13.0589,13.0589,1.0
2013-06-24,13.0287,13.0287,13.0287,13.0287,1.0
2013-06-25,13.0307,13.0307,13.0307,13.0307,1.0
2013-06-26,13.0132,13.0132,13.0132,13.0132,1.0
2013-06-27,12.9998,12.9998,12.9998,12.9998,1.0
2013-06-28,13.052,13.052,13.052,13.052,1.0
2013-07-02,13.0701,13.0701,13.0701,13.0701,1.0
2013-07-03,13.0542,13.0542,13.0542,13.0542,1.0
2013-07-04,13.0626,13.0626,13.0626,13.0626,1.0
2013-07-05,13.061,13.061,13.061,13.061,1.0
2013-07-08,13.0478,13.0478,13.0478,13.0478,1.0
2013-07-09,13.0494,13.0494,13.0494,13.0494,1.0
2013-07-10,13.0494,13.0494,13.0494,13.0494,1.0
2013-07-11,13.0607,13.0607,13.0607,13.0607,1.0
2013-07-12,13.0563,13.0563,13.0563,13.0563,1.0
2013-07-15,13.0516,13.0516,13.0516,13.0516,1.0
2013-07-16,12.799,12.799,12.799,12.799,1.0
2013-07-17,12.7934,12.7934,12.7934,12.7934,1.0
2013-07-18,12.8389,12.8389,12.8389,12.8389,1.0
2013-07-19,12.8671,12.8671,12.8671,12.8671,1.0
2013-07-22,12.8498,12.8498,12.8498,12.8498,1.0
2013-07-23,12.7845,12.7845,12.7845,12.7845,1.0
2013-07-24,12.718,12.718,12.718,12.718,1.0
2013-07-25,12.7534,12.7534,12.7534,12.7534,1.0
2013-07-26,12.7727,12.7727,12.7727,12.7727,1.0
2013-07-29,12.7902,12.7902,12.7902,12.7902,1.0
2013-07-30,12.7837,12.7837,12.7837,12.7837,1.0
2013-07-31,12.7474,12.7474,12.7474,12.7474,1.0
2013-08-01,12.7809,12.7809,12.7809,12.7809,1.0
2013-08-02,12.7763,12.7763,12.7763,12.7763,1.0
2013-08-05,12.8009,12.8009,12.8009,12.8009,1.0
2013-08-06,12.7973,12.7973,12.7973,12.7973,1.0
2013-08-07,12.8288,12.8288,12.8288,12.8288,1.0
2013-08-08,12.8412,12.8412,12.8412,12.8412,1.0
2013-08-12,12.8289,12.8289,12.8289,12.8289,1.0
2013-08-13,12.7942,12.7942,12.7942,12.7942,1.0
2013-08-14,12.7597,12.7597,12.7597,12.7597,1.0
2013-08-16,12.7315,12.7315,12.7315,12.7315,1.0
2013-08-19,12.5839,12.5839,12.5839,12.5839,1.0
2013-08-20,12.6353,12.6353,12.6353,12.6353,1.0
2013-08-21,12.745,12.745,12.745,12.745,1.0
2013-08-22,12.7332,12.7332,12.7332,12.7332,1.0
2013-08-23,12.7723,12.7723,12.7723,12.7723,1.0
2013-08-26,12.7829,12.7829,12.7829,12.7829,1.0
2013-08-27,12.7288,12.7288,12.7288,12.7288,1.0
2013-08-28,12.6768,12.6768,12.6768,12.6768,1.0
2013-08-29,12.6986,12.6986,12.6986,12.6986,1.0
2013-08-30,12.736,12.736,12.736,12.736,1.0
2013-09-02,12.7793,12.7793,12.7793,12.7793,1.0
2013-09-03,12.7837,12.7837,12.7837,12.7837,1.0
2013-09-04,12.8238,12.8238,12.8238,12.8238,1.0
2013-09-05,12.8767,12.8767,12.8767,12.8767,1.0
2013-09-06,12.8752,12.8752,12.8752,12.8752,1.0
2013-09-10,12.9011,12.9011,12.9011,12.9011,1.0
2013-09-11,12.9146,12.9146,12.9146,12.9146,1.0
2013-09-12,12.9173,12.9173,12.9173,12.9173,1.0
2013-09-13,12.912,12.912,12.912,12.912,1.0
2013-09-16,12.9389,12.9389,12.9389,12.9389,1.0
2013-09-17,12.9517,12.9517,12.9517,12.9517,1.0
2013-09-18,12.9788,12.9788,12.9788,12.9788,1.0
