Date,Open,High,Low,Close,Volume
2013-05-28,9.9992,9.9992,9.9992,9.9992,1.0
2013-05-29,10.008,10.008,10.008,10.008,1.0
2013-05-30,10.0327,10.0327,10.0327,10.0327,1.0
2013-05-31,10.0154,10.0154,10.0154,10.0154,1.0
2013-06-03,10.0572,10.0572,10.0572,10.0572,1.0
2013-06-04,10.0339,10.0339,10.0339,10.0339,1.0
2013-06-05,10.0273,10.0273,10.0273,10.0273,1.0
2013-06-06,10.0328,10.0328,10.0328,10.0328,1.0
2013-06-07,10.0235,10.0235,10.0235,10.0235,1.0
2013-06-10,9.9957,9.9957,9.9957,9.9957,1.0
2013-06-11,9.954,9.954,9.954,9.954,1.0
2013-06-12,9.9288,9.9288,9.9288,9.9288,1.0
2013-06-13,9.9118,9.9118,9.9118,9.9118,1.0
2013-06-14,9.9549,9.9549,9.9549,9.9549,1.0
2013-06-17,9.9818,9.9818,9.9818,9.9818,1.0
2013-06-18,9.9964,9.9964,9.9964,9.9964,1.0
2013-06-19,10.0085,10.0085,10.0085,10.0085,1.0
2013-06-20,9.9306,9.9306,9.9306,9.9306,1.0
2013-06-21,9.9161,9.9161,9.9161,9.9161,1.0
2013-06-24,9.8034,9.8034,9.8034,9.8034,1.0
2013-06-25,9.7828,9.7828,9.7828,9.7828,1.0
2013-06-26,9.7543,9.7543,9.7543,9.7543,1.0
2013-06-27,9.7919,9.7919,9.7919,9.7919,1.0
2013-06-28,9.8992,9.8992,9.8992,9.8992,1.0
2013-07-01,9.9352,9.9352,9.9352,9.9352,1.0
2013-07-02,9.9357,9.9357,9.9357,9.9357,1.0
2013-07-03,9.9149,9.9149,9.9149,9.9149,1.0
2013-07-04,9.9544,9.9544,9.9544,9.9544,1.0
2013-07-05,9.9713,9.9713,9.9713,9.9713,1.0
2013-07-08,9.9518,9.9518,9.9518,9.9518,1.0
2013-07-09,10.0018,10.0018,10.0018,10.0018,1.0
2013-07-10,10.0079,10.0079,10.0079,10.0079,1.0
2013-07-11,10.0617,10.0617,10.0617,10.0617,1.0
2013-07-12,10.1284,10.1284,10.1284,10.1284,1.0
2013-07-15,10.1833,10.1833,10.1833,10.1833,1.0
2013-07-16,10.1081,10.1081,10.1081,10.1081,1.0
2013-07-17,10.1534,10.1534,10.1534,10.1534,1.0
2013-07-18,10.2163,10.2163,10.2163,10.2163,1.0
2013-07-19,10.1288,10.1288,10.1288,10.1288,1.0
2013-07-22,10.1909,10.1909,10.1909,10.1909,1.0
2013-07-23,10.1664,10.1664,10.1664,10.1664,1.0
2013-07-24,10.0358,10.0358,10.0358,10.0358,1.0
2013-07-25,9.9699,9.9699,9.9699,9.9699,1.0
2013-07-26,9.9594,9.9594,9.9594,9.9594,1.0
2013-07-29,9.8913,9.8913,9.8913,9.8913,1.0
2013-07-30,9.8424,9.8424,9.8424,9.8424,1.0
2013-07-31,9.7726,9.7726,9.7726,9.7726,1.0
2013-08-01,9.7877,9.7877,9.7877,9.7877,1.0
2013-08-02,9.8152,9.8152,9.8152,9.8152,1.0
2013-08-05,9.7889,9.7889,9.7889,9.7889,1.0
2013-08-06,9.6794,9.6794,9.6794,9.6794,1.0
2013-08-07,9.6912,9.6912,9.6912,9.6912,1.0
2013-08-08,9.8041,9.8041,9.8041,9.8041,1.0
2013-08-12,9.8993,9.8993,9.8993,9.8993,1.0
2013-08-13,9.9669,9.9669,9.9669,9.9669,1.0
2013-08-14,9.9589,9.9589,9.9589,9.9589,1.0
2013-08-16,9.8359,9.8359,9.8359,9.8359,1.0
2013-08-19,9.7064,9.7064,9.7064,9.7064,1.0
2013-08-20,9.7127,9.7127,9.7127,9.7127,1.0
2013-08-21,9.6923,9.6923,9.6923,9.6923,1.0
2013-08-22,9.7025,9.7025,9.7025,9.7025,1.0
2013-08-23,9.7798,9.7798,9.7798,9.7798,1.0
2013-08-26,9.7569,9.7569,9.7569,9.7569,1.0
2013-08-27,9.6567,9.6567,9.6567,9.6567,1.0
2013-08-28,9.6251,9.6251,9.6251,9.6251,1.0
2013-08-29,9.649,9.649,9.649,9.649,1.0
2013-08-30,9.6451,9.6451,9.6451,9.6451,1.0
2013-09-02,9.7168,9.7168,9.7168,9.7168,1.0
2013-09-03,9.657,9.657,9.657,9.657,1.0
2013-09-04,9.6588,9.6588,9.6588,9.6588,1.0
2013-09-05,9.7591,9.7591,9.7591,9.7591,1.0
2013-09-06,9.7627,9.7627,9.7627,9.7627,1.0
2013-09-10,9.8876,9.8876,9.8876,9.8876,1.0
2013-09-11,9.9697,9.9697,9.9697,9.9697,1.0
2013-09-12,10.0016,10.0016,10.0016,10.0016,1.0
2013-09-13,10.04,10.04,10.04,10.04,1.0
2013-09-16,10.0314,10.0314,10.0314,10.0314,1.0
2013-09-17,10.0447,10.0447,10.0447,10.0447,1.0
2013-09-18,10.1245,10.1245,10.1245,10.1245,1.0
2013-09-19,10.2081,10.2081,10.2081,10.2081,1.0
2013-09-20,10.162,10.162,10.162,10.162,1.0
2013-09-23,10.0588,10.0588,10.0588,10.0588,1.0
2013-09-24,10.0423,10.0423,10.0423,10.0423,1.0
2013-09-25,10.0896,10.0896,10.0896,10.0896,1.0
2013-09-26,10.1112,10.1112,10.1112,10.1112,1.0
2013-09-27,10.1148,10.1148,10.1148,10.1148,1.0
2013-09-30,10.1415,10.1415,10.1415,10.1415,1.0
2013-10-01,10.189,10.189,10.189,10.189,1.0
2013-10-03,10.2037,10.2037,10.2037,10.2037,1.0
2013-10-04,10.1524,10.1524,10.1524,10.1524,1.0
2013-10-07,10.1578,10.1578,10.1578,10.1578,1.0
2013-10-08,10.1417,10.1417,10.1417,10.1417,1.0
2013-10-09,10.125,10.125,10.125,10.125,1.0
2013-10-10,10.1775,10.1775,10.1775,10.1775,1.0
2013-10-11,10.247,10.247,10.247,10.247,1.0
2013-10-14,10.3426,10.3426,10.3426,10.3426,1.0
2013-10-15,10.3314,10.3314,10.3314,10.3314,1.0
2013-10-17,10.334,10.334,10.334,10.334,1.0
2013-10-18,10.4605,10.4605,10.4605,10.4605,1.0
2013-10-21,10.5421,10.5421,10.5421,10.5421,1.0
2013-10-22,10.5722,10.5722,10.5722,10.5722,1.0
2013-10-23,10.59,10.59,10.59,10.59,1.0
2013-10-24,10.5668,10.5668,10.5668,10.5668,1.0
2013-10-25,10.5451,10.5451,10.5451,10.5451,1.0
2013-10-28,10.5689,10.5689,10.5689,10.5689,1.0
2013-10-29,10.5966,10.5966,10.5966,10.5966,1.0
2013-10-30,10.6077,10.6077,10.6077,10.6077,1.0
2013-10-31,10.6939,10.6939,10.6939,10.6939,1.0
2013-11-01,10.7386,10.7386,10.7386,10.7386,1.0
2013-11-05,10.8176,10.8176,10.8176,10.8176,1.0
2013-11-06,10.8172,10.8172,10.8172,10.8172,1.0
2013-11-07,10.7677,10.7677,10.7677,10.7677,1.0
2013-11-08,10.7003,10.7003,10.7003,10.7003,1.0
2013-11-11,10.6757,10.6757,10.6757,10.6757,1.0
2013-11-12,10.6621,10.6621,10.6621,10.6621,1.0
2013-11-13,10.6513,10.6513,10.6513,10.6513,1.0
2013-11-14,10.7331,10.7331,10.7331,10.7331,1.0
2013-11-18,10.8401,10.8401,10.8401,10.8401,1.0
2013-11-19,10.8503,10.8503,10.8503,10.8503,1.0
2013-11-20,10.8985,10.8985,10.8985,10.8985,1.0
2013-11-21,10.8418,10.8418,10.8418,10.8418,1.0
2013-11-22,10.768,10.768,10.768,10.768,1.0
2013-11-25,10.7797,10.7797,10.7797,10.7797,1.0
2013-11-26,10.7274,10.7274,10.7274,10.7274,1.0
2013-11-27,10.7691,10.7691,10.7691,10.7691,1.0
2013-11-28,10.7991,10.7991,10.7991,10.7991,1.0
2013-11-29,10.846,10.846,10.846,10.846,1.0
2013-12-02,10.8981,10.8981,10.8981,10.8981,1.0
2013-12-03,10.8084,10.8084,10.8084,10.8084,1.0
2013-12-04,10.7896,10.7896,10.7896,10.7896,1.0
2013-12-05,10.8336,10.8336,10.8336,10.8336,1.0
2013-12-06,10.8184,10.8184,10.8184,10.8184,1.0
2013-12-09,10.8408,10.8408,10.8408,10.8408,1.0
2013-12-10,10.7427,10.7427,10.7427,10.7427,1.0
2013-12-11,10.7567,10.7567,10.7567,10.7567,1.0
2013-12-12,10.6884,10.6884,10.6884,10.6884,1.0
2013-12-13,10.6091,10.6091,10.6091,10.6091,1.0
2013-12-16,10.6361,10.6361,10.6361,10.6361,1.0
2013-12-17,10.6524,10.6524,10.6524,10.6524,1.0
