Date,Open,High,Low,Close,Volume
2013-01-02,10.7479,10.7479,10.7479,10.7479,1.0
2013-01-03,10.8357,10.8357,10.8357,10.8357,1.0
2013-01-04,10.6737,10.6737,10.6737,10.6737,1.0
2013-01-07,10.7486,10.7486,10.7486,10.7486,1.0
2013-01-08,10.6701,10.6701,10.6701,10.6701,1.0
2013-01-09,10.6962,10.6962,10.6962,10.6962,1.0
2013-01-10,10.6645,10.6645,10.6645,10.6645,1.0
2013-01-11,10.666,10.666,10.666,10.666,1.0
2013-01-14,10.6687,10.6687,10.6687,10.6687,1.0
2013-01-15,10.6875,10.6875,10.6875,10.6875,1.0
2013-01-16,10.7366,10.7366,10.7366,10.7366,1.0
2013-01-17,10.703,10.703,10.703,10.703,1.0
2013-01-18,10.6811,10.6811,10.6811,10.6811,1.0
2013-01-21,10.6531,10.6531,10.6531,10.6531,1.0
2013-01-22,10.7413,10.7413,10.7413,10.7413,1.0
2013-01-23,10.7673,10.7673,10.7673,10.7673,1.0
2013-01-24,10.7339,10.7339,10.7339,10.7339,1.0
2013-01-28,10.6541,10.6541,10.6541,10.6541,1.0
2013-01-29,10.6363,10.6363,10.6363,10.6363,1.0
2013-01-30,10.6084,10.6084,10.6084,10.6084,1.0
2013-01-31,10.6127,10.6127,10.6127,10.6127,1.0
2013-02-01,10.5867,10.5867,10.5867,10.5867,1.0
2013-02-04,10.5744,10.5744,10.5744,10.5744,1.0
2013-02-05,10.6703,10.6703,10.6703,10.6703,1.0
2013-02-06,10.5926,10.5926,10.5926,10.5926,1.0
2013-02-07,10.5997,10.5997,10.5997,10.5997,1.0
2013-02-08,10.6409,10.6409,10.6409,10.6409,1.0
2013-02-11,10.6045,10.6045,10.6045,10.6045,1.0
2013-02-12,10.5659,10.5659,10.5659,10.5659,1.0
2013-02-13,10.5438,10.5438,10.5438,10.5438,1.0
2013-02-14,10.5473,10.5473,10.5473,10.5473,1.0
2013-02-15,10.5091,10.5091,10.5091,10.5091,1.0
2013-02-18,10.464,10.464,10.464,10.464,1.0
2013-02-20,10.3739,10.3739,10.3739,10.3739,1.0
2013-02-21,10.2302,10.2302,10.2302,10.2302,1.0
2013-02-22,10.2772,10.2772,10.2772,10.2772,1.0
2013-02-25,10.2695,10.2695,10.2695,10.2695,1.0
2013-02-26,10.2937,10.2937,10.2937,10.2937,1.0
2013-02-27,10.3232,10.3232,10.3232,10.3232,1.0
2013-02-28,10.2806,10.2806,10.2806,10.2806,1.0
2013-03-01,10.2383,10.2383,10.2383,10.2383,1.0
2013-03-04,10.3098,10.3098,10.3098,10.3098,1.0
2013-03-05,10.3072,10.3072,10.3072,10.3072,1.0
2013-03-06,10.2809,10.2809,10.2809,10.2809,1.0
2013-03-07,10.3091,10.3091,10.3091,10.3091,1.0
2013-03-08,10.271,10.271,10.271,10.271,1.0
2013-03-11,10.2452,10.2452,10.2452,10.2452,1.0
2013-03-12,10.2459,10.2459,10.2459,10.2459,1.0
2013-03-13,10.2769,10.2769,10.2769,10.2769,1.0
2013-03-14,10.2293,10.2293,10.2293,10.2293,1.0
2013-03-15,10.2511,10.2511,10.2511,10.2511,1.0
2013-03-18,10.2966,10.2966,10.2966,10.2966,1.0
2013-03-19,10.3153,10.3153,10.3153,10.3153,1.0
2013-03-20,10.3243,10.3243,10.3243,10.3243,1.0
2013-03-21,10.2863,10.2863,10.2863,10.2863,1.0
2013-03-22,10.299,10.299,10.299,10.299,1.0
2013-03-25,10.2582,10.2582,10.2582,10.2582,1.0
2013-03-26,10.207,10.207,10.207,10.207,1.0
2013-03-28,10.3752,10.3752,10.3752,10.3752,1.0
2013-04-02,10.3299,10.3299,10.3299,10.3299,1.0
2013-04-03,10.1659,10.1659,10.1659,10.1659,1.0
2013-04-04,10.1,10.1,10.1,10.1,1.0
2013-04-05,10.1622,10.1622,10.1622,10.1622,1.0
2013-04-08,10.273,10.273,10.273,10.273,1.0
2013-04-09,10.2273,10.2273,10.2273,10.2273,1.0
2013-04-10,10.2499,10.2499,10.2499,10.2499,1.0
2013-04-12,10.0982,10.0982,10.0982,10.0982,1.0
2013-04-15,9.513,9.513,9.513,9.513,1.0
