Date,Open,High,Low,Close,Volume
2013-01-02,18.66,18.66,18.66,18.66,1.0
2013-01-03,18.73,18.73,18.73,18.73,1.0
2013-01-04,18.76,18.76,18.76,18.76,1.0
2013-01-07,18.72,18.72,18.72,18.72,1.0
2013-01-08,18.76,18.76,18.76,18.76,1.0
2013-01-09,18.76,18.76,18.76,18.76,1.0
2013-01-10,18.77,18.77,18.77,18.77,1.0
2013-01-11,18.69,18.69,18.69,18.69,1.0
2013-01-14,18.84,18.84,18.84,18.84,1.0
2013-01-15,18.94,18.94,18.94,18.94,1.0
2013-01-16,18.78,18.78,18.78,18.78,1.0
2013-01-17,18.94,18.94,18.94,18.94,1.0
2013-01-18,18.97,18.97,18.97,18.97,1.0
2013-01-21,19.08,19.08,19.08,19.08,1.0
2013-01-22,18.93,18.93,18.93,18.93,1.0
2013-01-23,18.91,18.91,18.91,18.91,1.0
2013-01-24,18.8,18.8,18.8,18.8,1.0
2013-01-25,18.99,18.99,18.99,18.99,1.0
2013-01-28,19.02,19.02,19.02,19.02,1.0
2013-01-29,18.89,18.89,18.89,18.89,1.0
2013-01-30,18.89,18.89,18.89,18.89,1.0
2013-01-31,18.78,18.78,18.78,18.78,1.0
2013-02-01,18.74,18.74,18.74,18.74,1.0
2013-02-04,18.67,18.67,18.67,18.67,1.0
2013-02-05,18.55,18.55,18.55,18.55,1.0
2013-02-06,18.57,18.57,18.57,18.57,1.0
2013-02-07,18.49,18.49,18.49,18.49,1.0
2013-02-08,18.39,18.39,18.39,18.39,1.0
2013-02-11,18.38,18.38,18.38,18.38,1.0
2013-02-12,18.48,18.48,18.48,18.48,1.0
2013-02-13,18.47,18.47,18.47,18.47,1.0
2013-02-14,18.4,18.4,18.4,18.4,1.0
2013-02-15,18.35,18.35,18.35,18.35,1.0
2013-02-18,18.36,18.36,18.36,18.36,1.0
2013-02-19,18.5,18.5,18.5,18.5,1.0
2013-02-20,18.51,18.51,18.51,18.51,1.0
2013-02-21,18.24,18.24,18.24,18.24,1.0
2013-02-22,18.26,18.26,18.26,18.26,1.0
2013-02-25,18.28,18.28,18.28,18.28,1.0
2013-02-26,18.07,18.07,18.07,18.07,1.0
2013-02-27,18.14,18.14,18.14,18.14,1.0
2013-02-28,17.87,17.87,17.87,17.87,1.0
2013-03-01,17.97,17.97,17.97,17.97,1.0
2013-03-04,17.92,17.92,17.92,17.92,1.0
2013-03-05,18.11,18.11,18.11,18.11,1.0
2013-03-06,18.24,18.24,18.24,18.24,1.0
2013-03-07,18.33,18.33,18.33,18.33,1.0
2013-03-08,18.56,18.56,18.56,18.56,1.0
2013-03-11,18.53,18.53,18.53,18.53,1.0
2013-03-12,18.45,18.45,18.45,18.45,1.0
2013-03-13,18.25,18.25,18.25,18.25,1.0
2013-03-14,18.42,18.42,18.42,18.42,1.0
2013-03-15,18.27,18.27,18.27,18.27,1.0
2013-03-18,18.16,18.16,18.16,18.16,1.0
2013-03-19,17.96,17.96,17.96,17.96,1.0
2013-03-20,17.76,17.76,17.76,17.76,1.0
2013-03-21,17.64,17.64,17.64,17.64,1.0
2013-03-22,17.59,17.59,17.59,17.59,1.0
2013-03-25,17.51,17.51,17.51,17.51,1.0
2013-03-26,17.49,17.49,17.49,17.49,1.0
2013-03-28,17.67,17.67,17.67,17.67,1.0
2013-04-01,17.72,17.72,17.72,17.72,1.0
2013-04-02,17.82,17.82,17.82,17.82,1.0
2013-04-03,17.58,17.58,17.58,17.58,1.0
2013-04-04,17.31,17.31,17.31,17.31,1.0
2013-04-05,17.29,17.29,17.29,17.29,1.0
2013-04-08,17.32,17.32,17.32,17.32,1.0
2013-04-09,17.15,17.15,17.15,17.15,1.0
2013-04-10,17.36,17.36,17.36,17.36,1.0
2013-04-11,17.46,17.46,17.46,17.46,1.0
2013-04-12,17.34,17.34,17.34,17.34,1.0
2013-04-15,17.41,17.41,17.41,17.41,1.0
2013-04-16,17.66,17.66,17.66,17.66,1.0
2013-04-17,17.72,17.72,17.72,17.72,1.0
2013-04-18,17.89,17.89,17.89,17.89,1.0
2013-04-22,18.06,18.06,18.06,18.06,1.0
2013-04-23,18.03,18.03,18.03,18.03,1.0
2013-04-25,18.24,18.24,18.24,18.24,1.0
2013-04-26,18.22,18.22,18.22,18.22,1.0
2013-04-29,18.35,18.35,18.35,18.35,1.0
2013-04-30,18.43,18.43,18.43,18.43,1.0
2013-05-02,18.57,18.57,18.57,18.57,1.0
2013-05-03,18.37,18.37,18.37,18.37,1.0
2013-05-06,18.47,18.47,18.47,18.47,1.0
2013-05-07,18.68,18.68,18.68,18.68,1.0
2013-05-08,18.72,18.72,18.72,18.72,1.0
2013-05-09,18.66,18.66,18.66,18.66,1.0
2013-05-10,18.87,18.87,18.87,18.87,1.0
2013-05-13,18.54,18.54,18.54,18.54,1.0
2013-05-14,18.61,18.61,18.61,18.61,1.0
2013-05-15,18.98,18.98,18.98,18.98,1.0
2013-05-16,19.08,19.08,19.08,19.08,1.0
2013-05-17,19.1,19.1,19.1,19.1,1.0
2013-05-20,19.02,19.02,19.02,19.02,1.0
2013-05-21,18.88,18.88,18.88,18.88,1.0
2013-05-22,18.84,18.84,18.84,18.84,1.0
2013-05-23,18.48,18.48,18.48,18.48,1.0
2013-05-24,18.57,18.57,18.57,18.57,1.0
2013-05-27,18.79,18.79,18.79,18.79,1.0
2013-05-28,18.87,18.87,18.87,18.87,1.0
2013-05-29,18.84,18.84,18.84,18.84,1.0
2013-05-30,18.92,18.92,18.92,18.92,1.0
2013-05-31,18.61,18.61,18.61,18.61,1.0
2013-06-03,18.48,18.48,18.48,18.48,1.0
2013-06-04,18.46,18.46,18.46,18.46,1.0
2013-06-05,18.47,18.47,18.47,18.47,1.0
2013-06-06,18.46,18.46,18.46,18.46,1.0
2013-06-07,18.38,18.38,18.38,18.38,1.0
2013-06-10,18.32,18.32,18.32,18.32,1.0
2013-06-11,18.1,18.1,18.1,18.1,1.0
2013-06-12,18.06,18.06,18.06,18.06,1.0
2013-06-13,17.86,17.86,17.86,17.86,1.0
2013-06-14,18.13,18.13,18.13,18.13,1.0
