Date,Open,High,Low,Close,Volume
2013-12-05,10.01,10.01,10.01,10.01,1.0
2013-12-06,10.0,10.0,10.0,10.0,1.0
2013-12-09,9.99,9.99,9.99,9.99,1.0
2013-12-10,9.98,9.98,9.98,9.98,1.0
2013-12-11,9.98,9.98,9.98,9.98,1.0
2013-12-12,9.98,9.98,9.98,9.98,1.0
2013-12-13,9.95,9.95,9.95,9.95,1.0
2013-12-16,9.95,9.95,9.95,9.95,1.0
2013-12-17,9.94,9.94,9.94,9.94,1.0
2013-12-18,9.97,9.97,9.97,9.97,1.0
2013-12-19,10.0,10.0,10.0,10.0,1.0
2013-12-20,10.06,10.06,10.06,10.06,1.0
2013-12-23,10.08,10.08,10.08,10.08,1.0
2013-12-24,10.1,10.1,10.1,10.1,1.0
2013-12-26,10.1,10.1,10.1,10.1,1.0
2013-12-27,10.11,10.11,10.11,10.11,1.0
2013-12-30,10.13,10.13,10.13,10.13,1.0
2013-12-31,10.16,10.16,10.16,10.16,1.0
2014-01-01,10.19,10.19,10.19,10.19,1.0
2014-01-02,10.12,10.12,10.12,10.12,1.0
2014-01-03,10.16,10.16,10.16,10.16,1.0
2014-01-06,10.16,10.16,10.16,10.16,1.0
2014-01-07,10.16,10.16,10.16,10.16,1.0
2014-01-08,10.18,10.18,10.18,10.18,1.0
2014-01-09,10.16,10.16,10.16,10.16,1.0
2014-01-10,10.14,10.14,10.14,10.14,1.0
2014-01-13,10.16,10.16,10.16,10.16,1.0
2014-01-14,10.11,10.11,10.11,10.11,1.0
2014-01-15,10.13,10.13,10.13,10.13,1.0
2014-01-16,10.08,10.08,10.08,10.08,1.0
2014-01-17,10.01,10.01,10.01,10.01,1.0
2014-01-20,10.03,10.03,10.03,10.03,1.0
2014-01-21,10.04,10.04,10.04,10.04,1.0
2014-01-22,10.05,10.05,10.05,10.05,1.0
2014-01-23,10.04,10.04,10.04,10.04,1.0
2014-01-24,9.97,9.97,9.97,9.97,1.0
2014-01-27,9.85,9.85,9.85,9.85,1.0
2014-01-28,9.85,9.85,9.85,9.85,1.0
2014-01-29,9.84,9.84,9.84,9.84,1.0
2014-01-30,9.79,9.79,9.79,9.79,1.0
2014-01-31,9.85,9.85,9.85,9.85,1.0
2014-02-03,9.86,9.86,9.86,9.86,1.0
2014-02-04,9.88,9.88,9.88,9.88,1.0
2014-02-05,9.89,9.89,9.89,9.89,1.0
2014-02-06,9.88,9.88,9.88,9.88,1.0
2014-02-07,9.88,9.88,9.88,9.88,1.0
2014-02-10,9.88,9.88,9.88,9.88,1.0
2014-02-11,9.91,9.91,9.91,9.91,1.0
2014-02-12,9.93,9.93,9.93,9.93,1.0
2014-02-13,9.91,9.91,9.91,9.91,1.0
2014-02-14,9.87,9.87,9.87,9.87,1.0
2014-02-17,9.85,9.85,9.85,9.85,1.0
2014-02-18,9.92,9.92,9.92,9.92,1.0
2014-02-19,9.94,9.94,9.94,9.94,1.0
2014-02-20,9.9,9.9,9.9,9.9,1.0
2014-02-21,9.97,9.97,9.97,9.97,1.0
2014-02-24,10.13,10.13,10.13,10.13,1.0
2014-02-25,10.13,10.13,10.13,10.13,1.0
2014-02-26,10.17,10.17,10.17,10.17,1.0
2014-02-28,10.2,10.2,10.2,10.2,1.0
2014-03-03,10.23,10.23,10.23,10.23,1.0
2014-03-04,10.34,10.34,10.34,10.34,1.0
2014-03-05,10.38,10.38,10.38,10.38,1.0
2014-03-06,10.48,10.48,10.48,10.48,1.0
2014-03-07,10.49,10.49,10.49,10.49,1.0
2014-03-10,10.57,10.57,10.57,10.57,1.0
2014-03-11,10.59,10.59,10.59,10.59,1.0
2014-03-12,10.59,10.59,10.59,10.59,1.0
2014-03-13,10.56,10.56,10.56,10.56,1.0
2014-03-14,10.53,10.53,10.53,10.53,1.0
2014-03-18,10.63,10.63,10.63,10.63,1.0
2014-03-19,10.73,10.73,10.73,10.73,1.0
2014-03-20,10.69,10.69,10.69,10.69,1.0
2014-03-21,10.79,10.79,10.79,10.79,1.0
2014-03-24,10.92,10.92,10.92,10.92,1.0
2014-03-25,10.96,10.96,10.96,10.96,1.0
2014-03-26,11.01,11.01,11.01,11.01,1.0
2014-03-27,11.06,11.06,11.06,11.06,1.0
2014-03-28,11.25,11.25,11.25,11.25,1.0
2014-03-31,11.37,11.37,11.37,11.37,1.0
2014-04-01,11.25,11.25,11.25,11.25,1.0
2014-04-02,11.37,11.37,11.37,11.37,1.0
2014-04-03,11.37,11.37,11.37,11.37,1.0
2014-04-04,11.34,11.34,11.34,11.34,1.0
2014-04-07,11.33,11.33,11.33,11.33,1.0
2014-04-09,11.54,11.54,11.54,11.54,1.0
2014-04-10,11.62,11.62,11.62,11.62,1.0
2014-04-11,11.62,11.62,11.62,11.62,1.0
2014-04-15,11.57,11.57,11.57,11.57,1.0
2014-04-16,11.53,11.53,11.53,11.53,1.0
2014-04-17,11.74,11.74,11.74,11.74,1.0
2014-04-21,11.81,11.81,11.81,11.81,1.0
2014-04-22,11.81,11.81,11.81,11.81,1.0
2014-04-23,11.82,11.82,11.82,11.82,1.0
2014-04-25,11.8,11.8,11.8,11.8,1.0
2014-04-28,11.83,11.83,11.83,11.83,1.0
2014-04-29,11.74,11.74,11.74,11.74,1.0
2014-04-30,11.66,11.66,11.66,11.66,1.0
2014-05-02,11.65,11.65,11.65,11.65,1.0
2014-05-05,11.61,11.61,11.61,11.61,1.0
2014-05-06,11.67,11.67,11.67,11.67,1.0
2014-05-07,11.71,11.71,11.71,11.71,1.0
2014-05-08,11.7,11.7,11.7,11.7,1.0
2014-05-09,11.87,11.87,11.87,11.87,1.0
2014-05-12,11.96,11.96,11.96,11.96,1.0
2014-05-13,12.12,12.12,12.12,12.12,1.0
2014-05-14,12.2,12.2,12.2,12.2,1.0
2014-05-15,12.13,12.13,12.13,12.13,1.0
2014-05-16,12.36,12.36,12.36,12.36,1.0
2014-05-19,13.01,13.01,13.01,13.01,1.0
2014-05-20,13.18,13.18,13.18,13.18,1.0
2014-05-21,13.32,13.32,13.32,13.32,1.0
2014-05-22,13.53,13.53,13.53,13.53,1.0
2014-05-23,13.69,13.69,13.69,13.69,1.0
2014-05-26,13.49,13.49,13.49,13.49,1.0
2014-05-27,13.39,13.39,13.39,13.39,1.0
2014-05-28,13.39,13.39,13.39,13.39,1.0
2014-05-29,13.46,13.46,13.46,13.46,1.0
2014-05-30,13.61,13.61,13.61,13.61,1.0
2014-06-02,13.9,13.9,13.9,13.9,1.0
