date,label,action,units,price,purchase_date,term,realized_gain,tax_due
2023-01-01,large_cap,BUY,3314.7706178732433,75.42,2023-01-01,,0.0,0.0
2023-01-01,flexi_cap,BUY,3919.048141587371,51.0328,2023-01-01,,0.0,0.0
2023-01-01,small_cap,BUY,2093.2179737650017,71.66,2023-01-01,,0.0,0.0
2023-01-01,corp_bond,BUY,7360.1931314677695,27.1732,2023-01-01,,0.0,0.0
2023-01-01,balanced_adv,BUY,288.73861648004527,346.334,2023-01-01,,0.0,0.0
2023-01-01,gold,BUY,5798.042580824714,17.2472,2023-01-01,,0.0,0.0
2023-02-01,gold,SELL,267.9601601474063,18.1443,2023-01-01,ST,240.3870596682387,72.11611790047161
2023-02-01,flexi_cap,SELL,83.74186912419322,52.3241,2023-01-01,ST,108.13587560007068,21.627175120014137
2023-02-01,corp_bond,SELL,14.13252904259932,27.3179,2023-01-01,ST,2.0449769524641255,0.6134930857392377
2023-02-01,large_cap,BUY,78.88298392799146,73.9,2023-02-01,,0.0,0.0
2023-02-01,small_cap,BUY,31.11014184972327,70.84,2023-02-01,,0.0,0.0
2023-02-01,balanced_adv,BUY,4.388781310239756,342.256,2023-02-01,,0.0,0.0
2023-03-01,corp_bond,SELL,54.71007845245696,27.3922,2023-01-01,ST,11.981507181087945,3.5944521543263837
2023-03-01,flexi_cap,SELL,17.896194007882798,52.3198,2023-01-01,ST,23.032401688145143,4.606480337629029
2023-03-01,balanced_adv,SELL,2.0018033380523423,343.024,2023-01-01,ST,-6.625969048953258,0.0
2023-03-01,large_cap,BUY,7.194696345118509,73.41,2023-03-01,,0.0,0.0
2023-03-01,small_cap,BUY,0.7175028399637653,70.49,2023-03-01,,0.0,0.0
2023-03-01,gold,BUY,144.02741832276052,17.5986,2023-03-01,,0.0,0.0
2023-04-01,gold,SELL,338.5076336635819,18.8941,2023-01-01,ST,557.4882218805537,167.24646656416613
2023-04-01,flexi_cap,SELL,16.68426611948411,53.0485,2023-01-01,ST,33.630475217044044,6.726095043408809
2023-04-01,large_cap,BUY,41.15656498724826,73.2,2023-04-01,,0.0,0.0
2023-04-01,small_cap,BUY,48.61127117723524,69.53,2023-04-01,,0.0,0.0
2023-04-01,corp_bond,BUY,8.510418601967043,27.6193,2023-04-01,,0.0,0.0
2023-04-01,balanced_adv,BUY,1.3907507779332644,344.595,2023-04-01,,0.0,0.0
2023-05-01,flexi_cap,SELL,88.5381282736479,55.9938,2023-01-01,ST,439.2376543655671,87.84753087311343
2023-05-01,small_cap,SELL,26.348059633577574,72.6,2023-01-01,ST,24.76717605556286,4.953435211112573
2023-05-01,balanced_adv,SELL,1.2472987107457398,356.817,2023-01-01,ST,13.075432384747597,3.9226297154242786
2023-05-01,large_cap,BUY,1.6361491106986197,75.45,2023-05-01,,0.0,0.0
2023-05-01,corp_bond,BUY,147.28542669954157,27.9039,2023-05-01,,0.0,0.0
2023-05-01,gold,BUY,157.86711239804782,18.9115,2023-05-01,,0.0,0.0
2023-06-01,small_cap,SELL,81.1777268866474,77.45,2023-01-01,ST,470.019038673689,94.0038077347378
2023-06-01,flexi_cap,SELL,32.10944855664651,57.9777,2023-01-01,ST,222.99690928105426,44.599381856210854
2023-06-01,large_cap,BUY,2.5366981330536316,77.39,2023-06-01,,0.0,0.0
2023-06-01,corp_bond,BUY,129.5043784272583,28.1522,2023-06-01,,0.0,0.0
2023-06-01,balanced_adv,BUY,3.1498550591083725,362.278,2023-06-01,,0.0,0.0
2023-06-01,gold,BUY,160.5046005049038,18.8591,2023-06-01,,0.0,0.0
2023-07-01,large_cap,SELL,75.20334839126586,81.17,2023-01-01,ST,432.4192532497787,86.48385064995574
2023-07-01,small_cap,SELL,46.28374364508384,81.28,2023-01-01,ST,445.24961386570675,89.04992277314136
2023-07-01,balanced_adv,SELL,3.0379735021847942,375.621,2023-01-01,ST,88.973129958486,26.6919389875458
2023-07-01,flexi_cap,SELL,9.270763511810884,59.632,2023-01-01,ST,79.72114959076411,15.944229918152823
2023-07-01,corp_bond,BUY,170.41435828577116,28.2436,2023-07-01,,0.0,0.0
2023-07-01,gold,BUY,359.1062254884591,18.1809,2023-07-01,,0.0,0.0
2023-08-01,large_cap,SELL,29.775931637787522,84.45,2023-01-01,ST,268.87666268922135,53.77533253784427
2023-08-01,balanced_adv,SELL,5.054246500013897,394.185,2023-01-01,ST,241.850749272165,72.5552247816495
2023-08-01,small_cap,SELL,12.989554040484828,84.36,2023-01-01,ST,164.96733631415736,32.99346726283147
2023-08-01,flexi_cap,SELL,6.325347793120639,61.5998,2023-01-01,ST,66.8399501299058,13.367990025981161
2023-08-01,corp_bond,BUY,181.91129126057777,28.4498,2023-08-01,,0.0,0.0
2023-08-01,gold,BUY,34.52856436853832,18.6597,2023-08-01,,0.0,0.0
2023-09-01,small_cap,SELL,51.815822099040666,87.29,2023-01-01,ST,809.8812994080062,161.97625988160124
2023-09-01,balanced_adv,SELL,0.899521270521088,398.597,2023-01-01,ST,47.0116801612436,14.10350404837308
2023-09-01,large_cap,BUY,25.816841960031006,84.45,2023-09-01,,0.0,0.0
2023-09-01,flexi_cap,BUY,15.775525987446217,61.8175,2023-09-01,,0.0,0.0
2023-09-01,corp_bond,BUY,22.029241309865007,28.6149,2023-09-01,,0.0,0.0
2023-09-01,gold,BUY,49.29960859997472,18.6547,2023-09-01,,0.0,0.0
2023-10-01,large_cap,SELL,31.470602461074158,86.16,2023-01-01,ST,337.9942704319363,67.59885408638726
2023-10-01,balanced_adv,SELL,5.519269249433653,410.693,2023-01-01,ST,355.21464962430036,106.5643948872901
2023-10-01,flexi_cap,SELL,21.57382990687718,62.8402,2023-01-01,ST,254.73083924246163,50.94616784849233
2023-10-01,small_cap,BUY,10.313457971896469,87.72,2023-10-01,,0.0,0.0
2023-10-01,corp_bond,BUY,40.18606180599272,28.7654,2023-10-01,,0.0,0.0
2023-10-01,gold,BUY,222.83787914099196,18.1664,2023-10-01,,0.0,0.0
2023-11-01,gold,SELL,321.7038460165588,19.1073,2023-01-01,ST,598.4013239754008,179.52039719262024
2023-11-01,corp_bond,SELL,45.54668374311555,28.8476,2023-01-01,ST,76.26336725947262,22.879010177841785
2023-11-01,flexi_cap,SELL,4.096561810644232,62.7192,2023-01-01,ST,47.87405994391275,9.57481198878255
2023-11-01,small_cap,SELL,2.6931295499549903,87.59,2023-01-01,ST,42.901553730783014,8.580310746156604
2023-11-01,large_cap,BUY,72.08621916560324,84.03,2023-11-01,,0.0,0.0
2023-11-01,balanced_adv,BUY,4.155039304969101,403.286,2023-11-01,,0.0,0.0
2023-12-01,large_cap,SELL,71.75943918910511,90.83,2023-01-01,ST,1105.8129579041095,221.1625915808219
2023-12-01,small_cap,SELL,38.87054166971877,94.5,2023-01-01,ST,887.8031717363768,177.56063434727537
2023-12-01,flexi_cap,SELL,46.36622862957009,67.1793,2023-01-01,ST,748.6523105673532,149.73046211347065
2023-12-01,balanced_adv,SELL,4.439453042901201,433.436,2023-01-01,ST,386.6852389427803,116.00557168283409
2023-12-01,corp_bond,BUY,393.75474911256504,29.0041,2023-12-01,,0.0,0.0
2023-12-01,gold,BUY,159.9994009060943,19.6581,2023-12-01,,0.0,0.0
2024-01-01,large_cap,SELL,84.44593277276063,96.72,2023-01-01,LT,1798.6983680598012,0.0
2024-01-01,balanced_adv,SELL,5.804322987923781,459.395,2023-01-01,ST,656.2425613376505,196.87276840129513
2024-01-01,flexi_cap,SELL,37.75831573877934,70.4621,2023-01-01,LT,733.6176439834655,0.0
2024-01-01,small_cap,BUY,19.53993068819153,97.08,2024-01-01,,0.0,0.0
2024-01-01,corp_bond,BUY,265.8915963495557,29.2224,2024-01-01,,0.0,0.0
2024-01-01,gold,BUY,183.10830566952671,19.8288,2024-01-01,,0.0,0.0
2024-02-01,small_cap,SELL,34.580363668707285,101.2,2023-01-01,LT,1021.5039427736134,0.0
2024-02-01,large_cap,SELL,17.12045854188271,99.54,2023-01-01,LT,412.945460030211,0.0
2024-02-01,balanced_adv,SELL,3.5583940038006294,476.492,2023-01-01,ST,463.1534467466824,138.94603402400472
2024-02-01,flexi_cap,SELL,19.685837698379267,72.5346,2023-01-01,LT,423.2809450230112,0.0
2024-02-01,corp_bond,BUY,141.43576260365944,29.4377,2024-02-01,,0.0,0.0
2024-02-01,gold,BUY,204.68523155447943,19.6627,2024-02-01,,0.0,0.0
2024-03-01,large_cap,SELL,67.20655934848814,103.79,2023-01-01,LT,1906.650088716609,0.0
2024-03-01,flexi_cap,SELL,64.53749760322172,75.431,2023-01-01,LT,1574.5987740229239,0.0
2024-03-01,small_cap,BUY,44.00006821534863,101.0,2024-03-01,,0.0,0.0
2024-03-01,corp_bond,BUY,119.4999767204326,29.6598,2024-03-01,,0.0,0.0
2024-03-01,balanced_adv,BUY,0.028103533464628707,486.462,2024-03-01,,0.0,0.0
2024-03-01,gold,BUY,196.99862441584784,19.5,2024-03-01,,0.0,0.0
2024-04-01,gold,SELL,383.3392923051927,20.9254,2023-01-01,ST,1409.99858495696,422.999575487088
2024-04-01,large_cap,SELL,10.671347295420851,105.4,2023-01-01,LT,319.92699191671716,0.0
2024-04-01,flexi_cap,BUY,26.77677208884025,75.7331,2024-04-01,,0.0,0.0
2024-04-01,small_cap,BUY,44.4181687751612,99.84,2024-04-01,,0.0,0.0
2024-04-01,corp_bond,BUY,38.17240755918844,29.8835,2024-04-01,,0.0,0.0
2024-04-01,balanced_adv,BUY,2.295015740943936,487.999,2024-04-01,,0.0,0.0
2024-05-01,gold,SELL,312.62440613597045,22.5146,2023-01-01,ST,1646.7177968806113,494.01533906418337
2024-05-01,small_cap,SELL,28.649271624731853,103.74,2023-01-01,LT,919.0686337213978,0.0
2024-05-01,balanced_adv,SELL,1.4612673706958121,502.145,2023-01-01,ST,227.68153029548515,68.30445908864554
2024-05-01,large_cap,BUY,33.09231419970563,106.65,2024-05-01,,0.0,0.0
2024-05-01,flexi_cap,BUY,23.50870185265417,76.9642,2024-05-01,,0.0,0.0
2024-05-01,corp_bond,BUY,161.42462065793373,30.0048,2024-05-01,,0.0,0.0
2024-06-01,balanced_adv,SELL,4.290354231128138,514.692,2023-01-01,ST,722.3154576442711,216.69463729328132
2024-06-01,small_cap,SELL,11.789272817290703,105.28,2023-01-01,LT,396.3553521173135,0.0
2024-06-01,flexi_cap,SELL,4.645338531426786,77.7696,2023-01-01,LT,124.20148724705167,0.0
2024-06-01,large_cap,BUY,26.403957537956803,106.71,2024-06-01,,0.0,0.0
2024-06-01,corp_bond,BUY,8.507458747260475,30.2675,2024-06-01,,0.0,0.0
2024-06-01,gold,BUY,22.93847786501299,22.621,2024-06-01,,0.0,0.0
2024-07-01,small_cap,SELL,99.12545832272785,116.13,2023-01-01,LT,4408.109131611707,0.0
2024-07-01,large_cap,SELL,49.84770741875331,113.56,2023-01-01,LT,1901.1915609512512,0.0
2024-07-01,flexi_cap,SELL,45.663500908536236,82.5054,2023-01-01,LT,1437.1490986939973,0.0
2024-07-01,corp_bond,BUY,368.6293755155883,30.4599,2024-07-01,,0.0,0.0
2024-07-01,balanced_adv,BUY,3.626348957276021,531.748,2024-07-01,,0.0,0.0
2024-07-01,gold,BUY,347.2747270027878,22.4114,2024-07-01,,0.0,0.0
2024-08-01,large_cap,SELL,65.26354872298094,118.79,2023-01-01,LT,2830.480108115684,0.0
2024-08-01,flexi_cap,SELL,33.27524883488598,85.3407,2023-01-01,LT,1141.6039095023846,0.0
2024-08-01,balanced_adv,SELL,2.3852853481866423,549.619,2023-01-01,ST,484.89273200612166,145.46781960183648
2024-08-01,small_cap,BUY,1.1463223816057486,118.9,2024-08-01,,0.0,0.0
2024-08-01,corp_bond,BUY,141.779564424038,30.7387,2024-08-01,,0.0,0.0
2024-08-01,gold,BUY,332.96827238408207,21.8144,2024-08-01,,0.0,0.0
2024-09-01,gold,SELL,103.0189294001277,22.4117,2023-01-01,ST,532.0412608869595,159.61237826608786
2024-09-01,small_cap,SELL,10.931202226055149,120.93,2023-01-01,LT,538.5803336777373,0.0
2024-09-01,large_cap,SELL,0.6018921942082825,120.13,2023-01-01,LT,26.91060000305231,0.0
2024-09-01,flexi_cap,BUY,15.381507858276514,85.8868,2024-09-01,,0.0,0.0
2024-09-01,corp_bond,BUY,35.95901927608866,30.9637,2024-09-01,,0.0,0.0
